"wsg_deb_name","wsg_latest_version","wsg_old_version"
"librdmacm1","librdmacm1_17.1-1_amd64.deb","1.0.16-1
"
"librgw2","librgw2_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"libsemanage-common","libsemanage-common_2.7-2build2_all.deb","2.2-1
"
"libsgutils2-2","libsgutils2-2_1.42-2ubuntu1_amd64.deb","1.39-1
"
"libsnappy1","None","1.1.0-1ubuntu1
"
"libsnmp-base","libsnmp-base_5.7.3+dfsg-1.8ubuntu3_all.deb","5.7.2~dfsg-8.1ubuntu3.1
"
"libstonith1","libstonith1_1.0.12-7build1_amd64.deb","1.0.11+hg2754-1.1build1
"
"libstonithd2","libstonithd2_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"libsub-name-perl","libsub-name-perl_0.21-1build1_amd64.deb","0.05-1build4
"
"libtcmalloc-minimal4","libtcmalloc-minimal4_2.5-2.2ubuntu3_amd64.deb","2.1-2ubuntu1.1
"
"libterm-ui-perl","libterm-ui-perl_0.46-1_all.deb","0.42-1
"
"libtext-charwidth-perl","libtext-charwidth-perl_0.04-7.1_amd64.deb","0.04-7build3
"
"libtext-iconv-perl","libtext-iconv-perl_1.7-5build6_amd64.deb","1.7-5build2
"
"libtext-soundex-perl","libtext-soundex-perl_3.4-1build5_amd64.deb","3.4-1build1
"
"libtext-wrapi18n-perl","libtext-wrapi18n-perl_0.06-7.1_all.deb","0.06-7
"
"libthai-data","libthai-data_0.1.27-2_all.deb","0.1.20-3
"
"libtimedate-perl","libtimedate-perl_2.3000-2_all.deb","2.3000-1
"
"libtransitioner2","libtransitioner2_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"libunwind8","libunwind8_1.2.1-8_amd64.deb","1.1-2.2ubuntu3
"
"libuutil1","None","0.6.5.11-1~trusty
"
"libx11-data","libx11-data_1.6.4-3_all.deb","2:1.6.2-1ubuntu2
"
"libxapian22","None","1.2.16-2ubuntu1
"
"libxml2-utils","libxml2-utils_2.9.4+dfsg1-6.1ubuntu1_amd64.deb","2.9.1+dfsg1-3ubuntu4.7
"
"libxtables10","None","1.4.21-1ubuntu1
"
"libzfs2","None","0.6.5.11-1~trusty
"
"libzpool2","None","0.6.5.11-1~trusty
"
"linux-firmware","linux-firmware_1.173_all.deb","1.127.20
"
"linux-headers-4.1.49-server","None","201811100252~300a5d5
"
"linux-image-4.1.49-server","None","201811100252~300a5d5
"
"linux-image-4.1.49-server-dbg","None","201811100252~300a5d5
"
"lksctp-tools","lksctp-tools_1.0.17+dfsg-2_amd64.deb","1.0.15+dfsg-1
"
"locales","locales_2.27-3ubuntu1_all.deb","2.13+git20120306-12.1
"
"lockfile-progs","lockfile-progs_0.1.17build1_amd64.deb","0.1.17
"
"login","login_4.5-1ubuntu1_amd64.deb","1:4.1.5.1-1ubuntu9.2
"
"logrotate","logrotate_3.11.0-0.1ubuntu1_amd64.deb","3.8.7-1ubuntu1
"
"lsb-base","lsb-base_9.20170808ubuntu1_all.deb","4.1+Debian11ubuntu6.2
"
"lsb-release","lsb-release_9.20170808ubuntu1_all.deb","4.1+Debian11ubuntu6.2
"
"lshw","lshw_02.18-0.1ubuntu6_amd64.deb","02.16-2ubuntu1.3
"
"lsof","lsof_4.89+dfsg-0.1_amd64.deb","4.86+dfsg-1ubuntu2
"
"lsscsi","lsscsi_0.28-0.1_amd64.deb","0.27-2
"
"ltrace","ltrace_0.7.3-6ubuntu1_amd64.deb","0.7.3-4ubuntu5.1
"
"make","make_4.1-9.1ubuntu1_amd64.deb","3.81-8.2ubuntu3
"
"makedev","makedev_2.3.1-93ubuntu2_all.deb","2.3.1-93ubuntu1
"
"man-db","man-db_2.8.3-2_amd64.deb","2.6.7.1-1ubuntu1
"
"manpages","manpages_4.15-1_all.deb","3.54-1ubuntu1
"
"manpages-dev","manpages-dev_4.15-1_all.deb","3.54-1ubuntu1
"
"mawk","mawk_1.3.3-17ubuntu3_amd64.deb","1.3.3-17ubuntu2
"
"mdadm","mdadm_4.0-2ubuntu1_amd64.deb","3.2.5-5ubuntu4.2
"
"megacli","None","8.07.08-1
"
"memcached","memcached_1.5.6-0ubuntu1_amd64.deb","1.4.14-0ubuntu9
"
"memtest86+","memtest86+_5.01-3ubuntu2_amd64.deb","4.20-1.1ubuntu8
"
"mime-support","mime-support_3.60ubuntu1_all.deb","3.54ubuntu1.1
"
"mlocate","mlocate_0.26-2ubuntu3.1_amd64.deb","0.26-1ubuntu1
"
"module-init-tools","module-init-tools_24-1ubuntu3_all.deb","15-0ubuntu6
"
"mount","mount_2.31.1-0.4ubuntu3_amd64.deb","2.20.1-5.1ubuntu20.9
"
"mountall","None","2.53
"
"mtr-tiny","mtr-tiny_0.92-1_amd64.deb","0.85-2
"
"multiarch-support","multiarch-support_2.27-3ubuntu1_amd64.deb","2.19-0ubuntu6.9
"
"multipath-tools","multipath-tools_0.7.4-2ubuntu3_amd64.deb","0.4.9-3ubuntu7.16.2
"
"mysql-common","mysql-common_5.7.25-1ubuntu18.04_amd64.deb","5.5.49-0ubuntu0.14.04.1
"
"nano","nano_2.9.3-2_amd64.deb","2.2.6-1ubuntu1
"
"ncurses-base","ncurses-base_6.1-1ubuntu1_all.deb","5.9+20140118-1ubuntu1
"
"ncurses-bin","ncurses-bin_6.1-1ubuntu1_amd64.deb","5.9+20140118-1ubuntu1
"
"ncurses-term","ncurses-term_6.1-1ubuntu1_all.deb","5.9+20140118-1ubuntu1
"
"net-tools","net-tools_1.60+git20161116.90da8a0-1ubuntu1_amd64.deb","1.60-25ubuntu2.1
"
"netbase","netbase_5.4_all.deb","5.2
"
"netcat-openbsd","netcat-openbsd_1.187-1_amd64.deb","1.105-7ubuntu1
"
"nfs-common","nfs-common_1.3.4-2.1ubuntu5_amd64.deb","1:1.2.8-6ubuntu1.2
"
